zinc_id,smiles
ZINC001848444376,N[C@@H]1CC[C@]2(C1)C(=O)NC[C@H]2F
ZINC001848444379,COC(=O)[C@@H]1C[C@@H]2NC[C@@H]2[C@@H]1NC(=O)OC(C)(C)C
ZINC001848444378,COC(=O)[C@@H]1C[C@@H]2NC[C@@H]2[C@H]1NC(=O)OC(C)(C)C
ZINC001848444377,COC(=O)[C@@H]1C[C@@H]2NC[C@H]2[C@H]1NC(=O)OC(C)(C)C
ZINC001848444375,COC(=O)[C@@H]1C[C@@H]2NC[C@H]2[C@@H]1NC(=O)OC(C)(C)C
ZINC001848444374,COc1ccc(Br)c(CC(F)(F)F)n1
ZINC001848444373,CC(C)(C)OC(=O)N1CC2(COC(=O)N2)C1
ZINC001848444372,CNc1ccc(Br)c(CC(F)(F)F)n1
ZINC001848444371,CC(C)(C)OC(=O)N1C[C@H]2CNCC(C)(C)[C@H]21
ZINC001848444370,CC(C)(C)OC(=O)N1C[C@@H]2CNCC(C)(C)[C@@H]21
ZINC001848444369,C#C[C@H]1[C@@H]2CN(C(=O)OC(C)(C)C)C[C@H]12
ZINC001848444368,Nc1ccc(Br)c(CC(F)(F)F)n1
ZINC001848444367,CC1(C)C(=O)Nc2c1ccnc2Br
ZINC001848444365,Cc1cc(Br)nc2c(C(=O)O)ncn12
ZINC001848444366,CC(C)(C)OC(=O)N1C[C@H]2CC[C@@H](CO)[C@H]2C1
ZINC001848444364,CC(C)(C)OC(=O)N1C[C@H]2CC[C@H](CO)[C@H]2C1
ZINC001848444363,F[C@]12CNC[C@H]1CN(Cc1ccccc1)C2
ZINC001848444361,CC(C)(C)OC(=O)N1[C@H](COS(C)(=O)=O)C[C@@H]1COS(C)(=O)=O
ZINC001848444362,COC(=O)[C@@H]1[C@H](NC(=O)OC(C)(C)C)C[C@@H]2NC[C@H]21
ZINC001848444360,COC(=O)[C@H]1[C@H]2CN[C@H]2C[C@H]1NC(=O)OC(C)(C)C
ZINC001848444359,COC(=O)[C@@H]1[C@H](NC(=O)OC(C)(C)C)C[C@H]2NC[C@@H]12
ZINC001848444358,CC(C)(C)OC(=O)N1C[C@@H]2CNCCN2C1=O
ZINC001848444357,COC(=O)[C@H]1[C@H]2CN[C@@H]2C[C@H]1NC(=O)OC(C)(C)C
ZINC001848444356,COc1ccc(Br)c(CC(F)F)n1
ZINC001848444355,COc1nc(C(F)(F)F)ncc1Br
ZINC001848444354,Nc1nc(CC(F)F)ccc1Br
ZINC001848444353,COC(=O)[C@@H]1[C@@H](NC(=O)OC(C)(C)C)C[C@@]12CCNC2
ZINC001848444349,Nc1ccc(Br)c(CC(F)F)n1
ZINC001848444352,COC(=O)[C@@H]1[C@H](NC(=O)OC(C)(C)C)C[C@@]12CCNC2
ZINC001848444351,COC(=O)[C@@H]1[C@@H](NC(=O)OC(C)(C)C)C[C@]12CCNC2
ZINC001848444350,COC(=O)[C@@H]1[C@H](NC(=O)OC(C)(C)C)C[C@]12CCNC2
ZINC001848444348,Nc1[nH]c2nccc-2c(Cl)c1Cl
ZINC001848444347,CC(C)(C)OC(=O)N[C@H]1CC12CCC(C(=O)O)CC2
ZINC001848444346,CC1(C)OB(c2cnn(C(F)(F)CO)c2)OC1(C)C
ZINC001848444345,CC(C)(C)OC(=O)N[C@@H]1CC12CCC(C(=O)O)CC2
ZINC001848444344,COC(=O)[C@@H]1CC2(CNC2)C[C@@H]1NC(=O)OC(C)(C)C
ZINC001848444341,C[C@@H]1OCC2(CCNCC2)C1=O
ZINC001848444343,COC(=O)[C@H]1CC2(CNC2)C[C@H]1NC(=O)OC(C)(C)C
