Name,smiles,MolecularWeight
Cc1ccc(C)c(B(c2ccc(F)cc2)c2ccccc2F)c1,[B](c1ccc(F)cc1)(c1cc(C)ccc1C)(c1ccccc1F),306.16
Cc1ccc(B(c2ccccc2)c2cc(C)ccc2C)cc1,[B](c1ccccc1)(c1ccc(C)cc1)(c1cc(C)ccc1C),284.21
Cc1ccc(C)c(B(c2ccc(Cl)cc2)c2ccc(C(=O)O)cc2)c1,[B](c1ccc(Cl)cc1)(c1cc(C)ccc1C)(c1ccc(C(=O)O)cc1),348.64
Fc1ccccc1B(c1ccc(CCl)cc1)c1ccc(CCl)cc1,[B](c1ccccc1F)(c1ccc(CCl)cc1)(c1ccc(CCl)cc1),357.06
N#Cc1cccc(B(c2ccccc2)c2ccccc2)c1,[B](c1ccccc1)(c1ccccc1)(c1cc(C#N)ccc1),267.14
Cc1ccc(B(c2cccc(C#N)c2)c2ccccc2F)cc1,[B](c1ccc(C)cc1)(c1cc(C#N)ccc1)(c1ccccc1F),299.16
Cc1ccc(B(c2ccccc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccccc1)(c1ccc(C)cc1)(c1ccc(C(=O)O)cc1),300.17
N#Cc1cccc(B(c2ccc(CCl)cc2)c2cccc(C#N)c2)c1,[B](c1cc(C#N)ccc1)(c1cc(C#N)ccc1)(c1ccc(CCl)cc1),340.62
Cc1ccc(C)c(B(c2ccccc2)c2ccc(Cl)cc2)c1,[B](c1ccccc1)(c1ccc(Cl)cc1)(c1cc(C)ccc1C),304.63
Fc1ccc(B(c2ccc(Cl)cc2)c2ccccc2F)cc1,[B](c1ccc(F)cc1)(c1ccc(Cl)cc1)(c1ccccc1F),312.56
N#Cc1cccc(B(c2cccc(C#N)c2)c2cccc(C#N)c2)c1,[B](c1cc(C#N)ccc1)(c1cc(C#N)ccc1)(c1cc(C#N)ccc1),317.16
ClCc1ccc(B(c2ccccc2)c2ccccc2)cc1,[B](c1ccccc1)(c1ccccc1)(c1ccc(CCl)cc1),290.6
N#Cc1cccc(B(c2ccc(Cl)cc2)c2ccc(C(=O)O)cc2)c1,[B](c1ccc(Cl)cc1)(c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1),345.59
Cc1ccc(C)c(B(c2ccc(CCl)cc2)c2ccc(CCl)cc2)c1,[B](c1cc(C)ccc1C)(c1ccc(CCl)cc1)(c1ccc(CCl)cc1),367.13
